id,label,description,rights,meta.Agent,meta.Alt Text,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Cultural Context,meta.Material,meta.Measurements,meta.Rights,meta.Style Period,meta.Subject,meta.Technique,meta.Worktype
000045,Becher: Water Towers,Photographs of six water towers in black and white form a grid.,ArtStor: The Solomon R. Guggenheim Foundation,Bernd and Hilla Becher,Six photographs of water towers and placed in a grid.,CE 1980,"Solomon R. Guggenheim Museum, NY, NY, USA",Europe and North America,"Northern and Western European, Minimalism",gelatin silver prints,155.6 x 125.1 cm,ArtStor: The Solomon R. Guggenheim Foundation,"20th Century CE, Minimalism",water tower,,Photography
000046,Bechtle: Alameda Gran Torino,"A station wagon with wood paneling and a California license plate sits in a driveway in front of a closed garage door.  A front door to the Ranch style house is behind the car.  While the image appears to be a photograph, it is actually a painting.",ArtStor: San Francisco Museum of Modern Art (SFMOMA),Robert Bechtle,A station wagon sits in a driveway in front of a garage.,CE 1974,San Francisco Museum of Modern Art (SFMOMA ),"San Francisco Bay Area, California, USA","American, Photorealism",oil on canvas,121.92 cm x 175.26 cm,ArtStor: San Francisco Museum of Modern Art (SFMOMA),"20th Century CE, Photorealism",station wagon,painting,Painting
000047,Behistun Inscription,"The Behistun Inscription is a rock face cliff engraving near Mount Behistun (now Kermanshah Province, Iran), which was on the Silk Road. In three languages (Old Persian, Elamite, Babylonian) it describes conquests of Darius the Great. It includes a relief carving of Darius, flanked by his soldiers, facing prisoners, with Faravahar, the symbol of Persia’s state religion, Zoroastrianism, blessing the scene.",Public Domain,Unknown,"A rock face cliff shows engravings in in three languages, Old Persian, Elamite, and Babylonian.",BCE 515 ,Behistun mountain,"Mount Behistun, in the foothills of the Zagros mountains, facing the Kermanshah plain (now Province in northwestern Iran). ","Middle Eastern, Iranian, Mesopotamian, Persian, Babylonian, Elamite",limestone,"15 m high by 25 m wide, and 100 m up a limestone cliff from an ancient road connecting the capitals of Babylonia and Media (Babylon and Ecbatana).",Public Domain,"6th Century BCE, Persian, Babylonian, Elamite","cuneiform script, Darius I of Persia",,Sculpture
000048,Bellini: Portrait of Mehmet II,This is a portrait of the Ottoman Sultan Mehmet II (1432-81).,Public Domain,Gentile Bellini,Portrait of the Ottoman Sultan Mehmet II,CE 1480,"National Gallery, London, UK","Istanbul, Turkey","Central and Eastern European, Turkish, Italian, Italian Renaissance","oil (19th-century repaint) on canvas, perhaps transferred from wood",70 x 52 cm,Public Domain,"15th Century CE, Italian Renaissance",Mehmet II,painting,Painting
000049,Bellini: Saint Francis in the Desert,"In muted tones of yellow, blue, and grey, this oil-on-board scene shows a barfoot bearded figure in a robe standing on a rocky mountain, facing the sun.  Behind him is a roughly built shelter with a vine trellis in front of its entrance.  Under the trellis is a desk with a book and a skull on it. A donkey stands in a grassy plain behind the shelter. In the mountainscape beyond is a gated city with a fortress on its peak. ",Artstor Department of Art History Digital Collections,Giovanni Bellini,A man in a robe stands on a cliff. In the distance there is a donkey and a building.,CE 1476-1478,"The Frick Collection, New York, United States","Venice, Italy","Southern European, Italian, Italian Renaissance",oil on panel,124.6 cm x 142 cm,Artstor Department of Art History Digital Collections,"15th Century CE, Italian Renaissance",Saint Francis,panel painting,Painting
000050,Bellows: Both Members of this Club,"Two bloodied boxers face off in a prize-fighting ring, surrounded by a mass of spectators",Public Domain,George Bellows,Two boxers fighting in a ring,CE 1909,"National Gallery, Washington DC, USA","New York, NY, United States","American, Social Realism, Realism",oil on canvas,115 x 160.5 cm,Public Domain,"20th Century CE, Social Realism, Realism",boxing match,painting,Painting
000051,Bellows: Dempsey and Firpo,This oil-on-canvas painting depicts a 1923 boxing match between Jack Dempsey and Luis Firpo. Firpo knocks down his opponent Dempsey out of the ring and onto the crowd as people watch. The boxers are highlighted with the misty background and spotlights.,CC 1.0 Universal Public Domain,George Bellows,This painting depicts a 1923 boxing match between Jack Dempsey and Luis Firpo.,CE 1924,"Whitney Museum of American Art, New York, United States",United States,"American, Social Realism, Realism",oil on canvas,129.9 x 160.7 cm,CC 1.0 Universal Public Domain,"20th Century CE, Social Realism, Realism",boxing match,painting,Painting
000052,Bernini: Elephant and Obelisk,"This sculpture shows an elephant, which serves as the base of an ancient Egyptian obelisk",CC BY-SA 4.0 Petar Milošević ,Gian Lorenzo Bernini,"Sculpture showing an elephant, which serves as the base of an ancient Egyptian obelisk",CE 1667,"Piazza della Minerva, Rome, Italy","Rome, Italy","Southern European, Italian, Baroque",marble,height of obelisk: 5.47 m; overall height: 12.69 m,CC BY-SA 4.0 Petar Milošević ,"17th Century CE, Baroque",elephant,,Sculpture
000053,Bernini: Four Rivers Fountain,This sculpted fountain shows personifications of four major rivers from continents.  They serve as the base for an ancient Roman obelisk.,CC BY 2.0 Bengt Nyman ,Gian Lorenzo Bernini,Sculpted fountain showing personifications of major rivers from four continents serving as the base for an ancient Roman obelisk.,CE 1647-1651,"Piazza Navona, Rome, Italy","Rome, Italy","Southern European, Italian, Baroque",Aswan granite (obelisk); travertine marble (sculpture),47 m (height of obelisk),CC BY 2.0 Bengt Nyman ,"17th Century CE, Baroque","personifications, allegories",,Sculpture
000054,Bernini: The Ecstasy of Saint Teresa,"This sculpture shows a recumbent Saint Teresa in a flowing gown, an angel poised with an arrow above her.",Public Domain,Gian Lorenzo Bernini,"Sculpture showing a recumbent Saint Teresa in a flowing gown, an angel poised with an arrow above her.",CE 1647-1652,"Santa Maria della Vittoria, Rome, Italy","Rome, Italy","Southern European, Italian, Baroque",marble,350 cm (height),Public Domain,"17th Century CE, Baroque",Saint Teresa,,Sculpture
000055,Bet Maryam ,"A three-story stone square building stands under a modern shade-roof. On the first level are windows showing four cubes at each corner, with a cross-shape bisecting the opening. On the second level and third levels are simple square openings for windows. The roof is pitched.",CC BY 2.0 Katie Hunt ,Unknown,A three-story stone square building stands under a modern shade-roof with windows on the side. The roof is pitched.,CE 1181-1220,"Lalibela, Ethiopia","Lalibela, Ethiopia
","East African, Ethiopian, Zagwe, Christendom",monolith,,CC BY 2.0 Katie Hunt ,"12th-13th Century CE, Zagwe Dynasty",Ethiopian Christianity,rock-cut,Architecture
000056,Beta Giorghis (Church of Saint George),"A three-story square building stands in a wide pit. It sits on a three-tiered foundation, with two doorways and two blind windows on the first level. Four windows on the third level show pointed arches. The roof is flat.  ",CC BY-SA 3.0 © UNESCO World Heritage Centre 1992-2018 ,Unknown,"A three-story square building stands in a wide pit. It sits on a three-tiered foundation, with two doorways and windows with pointed arches. The roof is flat.",CE 1200-1300,"Lalibela, Ethiopia ","Lalibela, Ethiopia ","East African, Ethiopian, Zagwe, Christendom",monolith,,CC BY-SA 3.0 © UNESCO World Heritage Centre 1992-2018 ,"13th Century CE, Zagwe Dynasty",Ethiopian Christianity,rock-cut,"Architecture
"
000057,"Bhairava from East Java, Indonesia ","Carved in volcanic stone is a standing figure wearing a floor-length skirt and elaborate jewelry at the waist, neck, and armbands. On the head is a crown, from which curled hair drapes down past the shoulders. The right arm is raised and broken at the forearm, while the left is down and across the body, broken at the wrist. A circular banner of sculls drapes across one shoulder and loops across the right hip before snaking up the back to join itself. ","ArtStor Museum of Fine Arts, Boston, Collection, Formerly in The AMICO Library ",Unknown,Carved in volcanic stone is a standing figure wearing a floor-length skirt and elaborate jewelry and a crown. The arms are broken. A banner of sculls drapes across the chest.,CE 1300,"Museum of Fine Arts Boston, Boston, MA, USA","East Java, Indonesia","Southeast Asian, Indonesian, Hindu",andesite (volcanic stone),198.12 cm,"ArtStor Museum of Fine Arts, Boston, Collection, Formerly in The AMICO Library ",14th Century CE,Hinduism,,Sculpture
000058,Bi -- Ritual Disc Neolithic,"A Bi, a jade ritual disc, 16.8 cm in diameter with a circular hole in the middle",ArtStor Philadelphia Museum of Art,Unknown,A jade ritual disc has a circular hole in the middle,BCE 2250,Philadelphia Museum of Art,China,"East Asian, Chinese, Liangzhu culture",jade (nephrite); wood stand,16.8 cm diameter,ArtStor Philadelphia Museum of Art,"3rd Millennium BCE, Neolithic, Liangzhu culture",Liangzhu culture,,Sculpture
000059,Bi -- Ritual Disc with Two Dragons,"A Bi, a flat jade ritual disc with a circular hole in the middle.  Its surface is carved with a repeating curled shape, and the outer rim on each side shows profiles of two undulating dragons.",CC BY-SA 3.0 Mountain,Unknown,A  jade ritual disc with a circular hole in the middle is flanked by two dragons.,BCE 481-221,Shanghai Museum,China,"East Asian, Chinese, Warring States Period",jade,,CC BY-SA 3.0 Mountain,"5th-3rd Century BCE, Warring States Period","grain pattern, dragon",,Sculpture
000060,Bialucha: Saint Michael’s Cathedral,Two square bell towers topped by cone-shaped roofs and crosses at their peaks rise above the triple-gallery façade of this cream-colored cathedral.  Arched windows and a stained-glass rose window adorn the upper galleries.  A portal with a pier and arched tympanum is at the street level.,Public Domain,Arthur Bialucha,A cathedral with two square bell towers shows arched windows and a rose window.,CE 1934,"Qingdao, Shandong Province, China","Qingdao, Shandong Province, China","East Asian, Chinese, Foreign Missionary Occupations, neo-Romanesque",,65.9 x 37.6 x 56 m,Public Domain,"20th Century CE, neo-Romanesque",Christianity,,Architecture
000061,Bianzhong of Marquis Yi of Zeng,The set 64 of bianzhongs (bells) are hung on two three-level wooden racks that are perpendicular to each other.  ,CC BY-SA 3.0 Zzjgbc,Unknown,A group of 64 bronze bells of different sizes dangle from three tiers of wooden beams.  ,BCE 433 ,China,China,"East Asian, Chinese, Warring State Period",bronze (bells); wood (racks),Two perpendicular racks; one is 7.48 x 2.65 m; the other is 3.35 x 2.73 m,CC BY-SA 3.0 Zzjgbc,"5th Century BCE, Warring State Period","musical instrument, ritual bronze",,Metalwork
000062,"Bierstadt: A Storm in the Rocky Mountains, Mt. Rosalie",View from a deep river valley in the Rocky Mountains of dark storm clouds gathering over Mount Rosalie.,Public Domain,Albert Bierstadt,Storm clouds gathering over Mount Rosalie,CE 1866,"Brooklyn Museum, New York, USA","Rosalie Peak, Colorado, USA","American, Hudson River School, Romanticism",oil on canvas,210.8 x 361.3 cm,Public Domain,"19th Century CE, Hudson River School, Romanticism","landscape, mountain",painting,Painting
000063,Bierstadt: The Last of the Buffalo,"This large-scale oil-on-canvas painting measures around six by ten feet. In the middleground of the landscape, a figure, wearing a feathered headdress, rides in on a horse. The rider pulls the reigns on the horse back as he raises a spear at a buffalo who is impaled with arrows and is charging at him. Further in the background of the landscape, other figures ride in on horseback and buffalos roam freely. In the foreground, a group of buffalo lie on the ground injured with skulls around them.",Public Domain Wikimedia Commons,Albert Bierstadt,A male wearing a headdress on a horse raises his spear at a buffalo that is charging at him.,CE 1888,"National Gallery of Art, Washington D.C., United States","New York, United States","American, Hudson River School, Romanticism",oil on canvas,180.3 x 301.63 cm,Public Domain Wikimedia Commons,"19th Century CE, Hudson River School, Romanticism","landscape, American western",painting,Painting
000064,"Bihzad: The Seduction of Yusuf, folio 52 verso of the Bustan ","An illustrated house with four floors and a balcony shows some exterior surfaces and two exterior turrets, and some views of interior rooms including a staircase.  Two human figures in an upper room, one chasing the other, wear robes.  ",Artstor: Department of Art History Digital Collections,Kamāl ud-Dīn Behzād,"A house with four stories shows a staircase and two figures in robes, one chasing the other.",CE 1488,"National Library, Cairo, Egypt","Herat, Afghanistan","Middle Eastern, Afghanistan, Muslim, Persian","opaque watercolor, ink, and gold on paper",30 x 21 cm,Artstor: Department of Art History Digital Collections,"15th Century CE, Persian","Muslim, Yusuf",Persian manuscripts,Manuscript Illustration
